Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"t1",2.907659546367824e-2,2.8236990132257347e-2,2.992346302501858e-2,4.334705770341506e-3,3.984723771615133e-3,4.850631986574884e-3
"t2",5.3344886460229744e-2,5.273934618465605e-2,5.402966991893947e-2,3.282495531423788e-3,2.9333441943087987e-3,4.221863479159714e-3
"t3",7.459643856517972e-2,7.440114990703764e-2,7.478401915065948e-2,9.806795222604269e-4,9.206675138759446e-4,1.0435812525473763e-3
"t4",9.822330013744533e-2,9.74019886635989e-2,9.901855961315334e-2,4.128741726074907e-3,3.80843060379837e-3,4.489933456556826e-3
"t5",0.12826474205486474,0.12781110540859397,0.1287845350884646,2.487781203416118e-3,2.2037695635073683e-3,3.290902174318392e-3
"l1",1.0193607964441177e-2,9.788205780908466e-3,1.0575955071374777e-2,2.02497853257035e-3,1.888461908775287e-3,2.163354953286243e-3
"l2",1.430999533168972e-2,1.3789391674920918e-2,1.4804978527948258e-2,2.6137263786973034e-3,2.4209042435550843e-3,2.8305646686260853e-3
"l3",1.7987842717096213e-2,1.734470144741237e-2,1.8602638401910655e-2,3.2207900230759754e-3,2.992416851044991e-3,3.4599796326667976e-3
"l4",2.24072672509402e-2,2.1631438889428967e-2,2.313742176525295e-2,3.8634512501897916e-3,3.576615490479526e-3,4.146504202683003e-3
"l5",2.724878088466823e-2,2.6436984696313733e-2,2.8055117287561295e-2,4.16686096559233e-3,3.8579883987853347e-3,4.500072016427506e-3
