Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"t1",6.706881929998813e-3,6.434541155462678e-3,6.964765001898226e-3,1.360953907320801e-3,1.2658491642326233e-3,1.4519255683101645e-3
"t2",6.6622380510620435e-3,6.401086260443148e-3,6.915216852789339e-3,1.3121252792457126e-3,1.2184588459282725e-3,1.407291775136567e-3
"t3",6.928632666235382e-3,6.644716669683871e-3,7.2012213960937835e-3,1.4263483527867948e-3,1.3367908442150857e-3,1.51818432128253e-3
"t4",6.6966108576111145e-3,6.43219511664432e-3,6.942952086096227e-3,1.3076506929089239e-3,1.211269858462596e-3,1.4047260811572528e-3
"t5",6.582615782385287e-3,6.317713667517124e-3,6.839220930700716e-3,1.3423617090407552e-3,1.2573040019622712e-3,1.431090578189301e-3
"l1",2.3191358693267993e-3,2.2262062676574866e-3,2.4078287728454763e-3,4.659387091473174e-4,4.3785618222641243e-4,4.94142412305487e-4
"l2",2.3590280659820727e-3,2.263696397128313e-3,2.447622025790423e-3,4.701783219186283e-4,4.3561275878461206e-4,5.034394754078322e-4
"l3",2.314070666613786e-3,2.2254933961059742e-3,2.400034869494646e-3,4.468346377699666e-4,4.1875186518689156e-4,4.7667589689513674e-4
"l4",2.3575462945129564e-3,2.2624947674896416e-3,2.4456526883270425e-3,4.6892931204082366e-4,4.3583810804249083e-4,5.007926182491359e-4
"l5",2.3323895581390548e-3,2.2362484582092446e-3,2.424367869677752e-3,4.833529589109422e-4,4.534849278907642e-4,5.114396173295668e-4
